case:concept:name,Activities_Repeated,Total_Extra_Steps
declaration 40084,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 20776,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 39839,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 16799,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 16677,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 16230,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 86257,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 39681,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 39525,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 39271,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 39214,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 38979,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 38386,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 38090,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 37940,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 36970,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 36151,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 35871,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 22374,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 17439,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 17123,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 17104,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 35051,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 34969,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 34797,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 34486,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,4
declaration 34124,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 33655,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 33262,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 32655,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 32444,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 22002,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 18149,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 17937,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 31775,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 31756,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 31614,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 31479,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 31099,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 30656,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 30574,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 30215,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 30121,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 30102,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 21671,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 21638,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 29131,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 19405,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 21569,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 9732,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 18714,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,4
declaration 929,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 9187,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 29050,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 28727,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 28679,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 28272,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 28234,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 28216,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 82082,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,4
declaration 9968,Permit REJECTED by ADMINISTRATION | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,4
declaration 81613,Declaration REJECTED by EMPLOYEE | Declaration REJECTED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,4
declaration 9074,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 81132,Declaration REJECTED by EMPLOYEE | Declaration REJECTED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,4
declaration 79668,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,4
declaration 77955,Permit REJECTED by EMPLOYEE | Permit REJECTED by PRE_APPROVER | Permit SUBMITTED by EMPLOYEE,4
declaration 75907,Declaration APPROVED by PRE_APPROVER | Declaration APPROVED by SUPERVISOR | Declaration FINAL_APPROVED by DIRECTOR | Declaration SUBMITTED by EMPLOYEE,4
declaration 71317,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 74789,Declaration APPROVED by SUPERVISOR | Declaration FINAL_APPROVED by DIRECTOR | Declaration SUBMITTED by EMPLOYEE,4
declaration 71203,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 73447,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,4
declaration 72886,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,4
declaration 71853,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 71446,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 11558,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 20748,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 8164,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 70905,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 20033,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,4
declaration 19921,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,4
declaration 25720,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 25567,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 70807,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 25226,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 7079,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 24612,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 24483,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 24188,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 23945,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 13251,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 1056,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 28042,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 10455,Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,3
declaration 9995,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 10552,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 40271,Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,3
declaration 15880,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 82895,Declaration APPROVED by SUPERVISOR | Declaration FINAL_APPROVED by DIRECTOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 83248,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 83264,Permit APPROVED by SUPERVISOR | Permit FINAL_APPROVED by DIRECTOR | Permit SUBMITTED by EMPLOYEE,3
declaration 22101,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 84555,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 42837,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 42997,Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,3
declaration 14838,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 15050,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 45496,Declaration REJECTED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,3
declaration 45682,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 32841,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,3
declaration 33203,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,3
declaration 46254,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,3
declaration 47850,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 47974,Declaration REJECTED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,3
declaration 49429,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 4975,Declaration REJECTED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,3
declaration 32077,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 81774,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 82172,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,3
declaration 82435,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 2035,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,3
declaration 82832,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 53167,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 55289,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 56084,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 56602,Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,3
declaration 58964,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 14539,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 62190,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 62441,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 63049,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 63280,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 80394,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 80784,Permit APPROVED by SUPERVISOR | Permit FINAL_APPROVED by DIRECTOR | Permit SUBMITTED by EMPLOYEE,3
declaration 23131,Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,3
declaration 6437,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 144371,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 144589,Declaration APPROVED by SUPERVISOR | Declaration FINAL_APPROVED by DIRECTOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 68296,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,3
declaration 6938,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,3
declaration 69486,Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,3
declaration 69877,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 70411,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 70444,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 72102,Declaration APPROVED by SUPERVISOR | Declaration FINAL_APPROVED by DIRECTOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 72511,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 72658,Declaration APPROVED by SUPERVISOR | Declaration FINAL_APPROVED by DIRECTOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 27218,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 78055,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 78088,Declaration APPROVED by SUPERVISOR | Declaration FINAL_APPROVED by DIRECTOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 78558,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 23454,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 72753,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 72906,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 72941,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 73127,Permit APPROVED by PRE_APPROVER | Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,3
declaration 73360,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 20016,Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,3
declaration 27185,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 73497,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 74073,Permit APPROVED by PRE_APPROVER | Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,3
declaration 74135,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 74211,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 74229,Permit APPROVED by PRE_APPROVER | Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,3
declaration 75684,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by PRE_APPROVER | Permit SUBMITTED by EMPLOYEE,3
declaration 76011,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by PRE_APPROVER | Permit SUBMITTED by EMPLOYEE,3
declaration 25454,Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,3
declaration 25548,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 77077,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 77196,Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,3
declaration 26633,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 74908,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 74949,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 75341,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 36621,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE,3
declaration 34521,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 37284,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,3
declaration 37366,Declaration REJECTED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,3
declaration 84843,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 84867,Permit APPROVED by PRE_APPROVER | Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,3
declaration 85205,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 85354,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 85661,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 85821,Permit APPROVED by SUPERVISOR | Permit FINAL_APPROVED by DIRECTOR | Permit SUBMITTED by EMPLOYEE,3
declaration 85981,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 86088,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,3
declaration 21286,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 9466,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 85792,Declaration SUBMITTED by EMPLOYEE | Send Reminder,2
declaration 85314,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 84971,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 84753,Permit APPROVED by PRE_APPROVER | Permit SUBMITTED by EMPLOYEE,2
declaration 84751,Permit APPROVED by PRE_APPROVER | Permit SUBMITTED by EMPLOYEE,2
declaration 84749,Permit APPROVED by PRE_APPROVER | Permit SUBMITTED by EMPLOYEE,2
declaration 37325,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 34694,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 36765,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 3654,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 36228,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 36053,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 17378,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 9801,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 9762,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 901,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 86516,Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,2
declaration 8619,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 75310,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
